,CNN,Name,vCNN
0,0.019487002747,2,0.015286762663
1,0.0218936708875,4,0.0235477040799
2,0.0472698471395,6,0.0367692458476
3,0.0425171743069,8,0.0437158072451
4,0.0465008888794,TwoDif1,0.00270463351075
5,0.0552042846238,TwoDif2,0.00453048736815
6,0.0743404978598,TwoDif3,0.0106891397655
