dataset name,AUC of VCNN,AUC of Deepbind
wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk,0.78019271,0.509104
wgEncodeAwgTfbsBroadK562Ezh239875UniPk,0.722177707,0.458921
wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk,0.76519069,0.501937
wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk,0.770019583,0.509658
wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk,0.830073325,0.639326
wgEncodeAwgTfbsUtaMcf7CmycSerumstimUniPk,0.842224692,0.672473
wgEncodeAwgTfbsHaibPanc1Sin3ak20V0416101UniPk,0.802375768,0.636793
wgEncodeAwgTfbsSydhHelas3Spt20UniPk,0.679813502,0.516099
wgEncodeAwgTfbsSydhK562Pol2IggmusUniPk,0.781387268,0.618028
wgEncodeAwgTfbsSydhHelas3Baf170IggmusUniPk,0.776772298,0.615678
wgEncodeAwgTfbsHaibSknshNrsfV0416101UniPk,0.883629925,0.730975
wgEncodeAwgTfbsUtaGm12878Pol2UniPk,0.798816289,0.657543
wgEncodeAwgTfbsHaibSknshSin3ak20V0416101UniPk,0.828899419,0.697903
wgEncodeAwgTfbsSydhGm10847NfkbTnfaIggrabUniPk,0.874597787,0.744078
wgEncodeAwgTfbsUtaProgfibPol2UniPk,0.816617604,0.693283
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk,0.897811803,0.779449
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk,0.881771837,0.773318
wgEncodeAwgTfbsHaibA549Six5V0422111Etoh02UniPk,0.839784362,0.734715
wgEncodeAwgTfbsHaibGm12892Taf1V0416102UniPk,0.830745509,0.726648
wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk,0.880282871,0.777376
wgEncodeAwgTfbsUtaMcf7CmycEstroUniPk,0.842262826,0.741814
wgEncodeAwgTfbsSydhHelas3NfyaIggrabUniPk,0.891613024,0.793514
wgEncodeAwgTfbsHaibU87Pol24h8V0416101UniPk,0.804620068,0.709229
wgEncodeAwgTfbsSydhK562NelfeUniPk,0.585972291,0.506433
wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk,0.773121367,0.69508
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk,0.814714294,0.750776
wgEncodeAwgTfbsHaibHepg2NrsfV0416101UniPk,0.85180333,0.795812
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk,0.876158235,0.823053
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk,0.836537975,0.784477
